Complaint ID,Product,Issue,Sub-issue,Consumer complaint narrative
23794231,Debt collection,Written notification about debt,Didn't receive notice of right to dispute,Midland Credit Credit on my credit report. Never received any letter about anything from this company. States im under collections.
23750042,Debt collection,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"I was sued by Absolute Resolutions, for over XXXX XXXX I then proceeded XXXX WIN in court XXXX the debt was dismissed as they could not prove my Debt was with them XXXX i have the court documents proving this, it has been almost XXXX years of negative remarks on my XXXX XXXX AFTER i WON in the court hearing."
23978660,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"Im writing to file a complaint against SECURITY CREDIT SERV for violating my consumer rights under 12 CFR 1006.34 and 15 USC 1681-s2 ( 7 ) ( A ). Theyve added an inaccurate account to my consumer report without giving me the required validation info, as outlined in 12 CFR 1006.34 ( b ) ( 5 ). On top of that, I havent been given a chance to dispute the account, which Im entitled to under 12 CFR 1006.34 ( c ) ( 4 ) ( i ). Overall, their actions are not only against federal regulations but also misleading and deceptive."
24441403,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,Debt collector is trying to collect a debt that might or might not be mine. They are aggressive in their efforts and its very disturbing. The debt is said to be around {$220.00} and is tied to a XXXX bill.
23930758,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"On XX/XX/XXXX, I filed a complaint with the CFPB # XXXX against LVNV Funding for reporting inaccurate information on my consumer report. LVNV Funding does not have a valid chain of title or assignment from XXXX XXXX or legal authority to report an alleged debt of {$640.00} claiming I owe them. Since then LVNV Funding has taken court action on XX/XX/XXXX against me and the case was dismissed! XXXX XXXX XXXX case # XXXX. This case is public knowledge and I have attached corresponding affidavits. Delete this trade line immediately from my consumer reports!"
23974135,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I am bringing this matter to your attention because Midland Credit Management , Inc. has repor ted an account on my consumer report that I believe is inaccurate and has not been properly validated. Despite reporting this account, Midland Credit Management , Inc. failed to provide the validation information required under 12 CFR 1006.34 ( b ) ( 5 ), and I was not given a meaningful opportunity to dispute the account as required by 12 CFR 1006.34 ( c ) ( 4 ) ( i ). These actions raise serious concerns regarding compliance with federal consumer protection laws, including 12 CFR 1006.34 and 15 U.S.C. 1681s-2 ( a ). Reporting inaccurate or unverifiable information without following the required procedures is misleading and has negatively impacted my consumer report. I request that this matter be thoroughly investigated and corrected without further delay."
24192612,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"Date : XXXX XXXX XXXX Re : Formal Notice of Dispute, Demand for Validation, and Immediate Deletion To Whom It May Concern, I am writing to formally dispute your alleged claim that I owe the above-referenced account. I dispute this debt in its entirety. This letter serves as my formal request for complete validation pursuant to the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692 et seq., and my notice that any inaccurate reporting to any consumer reporting agency violates the Fair Credit Reporting Act ( FCRA ), 15 U.S.C. 1681 et seq. The original creditor has already admitted in writing that the alleged account was sold to another entity in XXXX and that it is no longer the creditor. If your company claims ownership today, then you bear the full burden of proving that you possess the legal right to collect this alleged obligation. Ownership of an alleged debt can not be presumed through account statements or computer-generated records. Statements merely reflect alleged activity ; they do not establish legal ownership, assignment, standing, or my contractual obligation to your company. Accordingly, provide competent admissible evidence establishing your legal authority to collect, including : The complete chain of title from the original creditor through every purchaser, assignee, and debt buyer to your company. Every purchase and sale agreement applicable to this specific account. Bills of Sale identifying my specific account by name and account number. Assignment agreements executed by authorized representatives. Proof that value was exchanged for this account. The complete original signed credit agreement bearing my signature. Proof that the alleged debt has not been previously settled, discharged, canceled, forgiven, or otherwise extinguished. Documentation establishing that the balance you claim is accurate, including a complete accounting of all fees, interest, payments, credits, and adjustments. Documentation demonstrating that you possess legal standing to enforce this alleged obligation in court. Documentation proving your authority to report this account to consumer reporting agencies. Please be advised that under the Fair Debt Collection Practices Act, you must cease collection activity until proper validation has been provided. Furthermore, under the Fair Credit Reporting Act : 15 U.S.C. 1681s-2 ( b ) requires furnishers to conduct a reasonable investigation before verifying disputed information. 15 U.S.C. 1681e ( b ) requires maximum possible accuracy. 15 U.S.C. 1681i requires reinvestigation of disputed information. Reporting information that can not be verified constitutes inaccurate reporting. Verifying information without competent evidence is neither reasonable nor lawful. If your company has reported this account to Equifax, Experian, or TransUnion without possessing competent evidence establishing ownership and collectability, such reporting is inaccurate and misleading. Additionally, if this alleged debt has been sold multiple times, you must establish an uninterrupted chain of assignments from the original creditor to every subsequent purchaser. Failure to produce a complete chain of title means you can not establish standing or ownership. Please consider this letter notice that any continued reporting, collection activity, or verification without competent documentary evidence may constitute violations of : Fair Debt Collection Practices Act ( 15 U.S.C. 1692e, 1692f, and 1692g ) Fair Credit Reporting Act ( 15 U.S.C. 1681e ( b ), 1681i, and 1681s-2 ( b ) ) Should your company continue reporting or collecting this disputed account without first producing competent legal evidence establishing ownership and standing, I reserve all rights to pursue every remedy available under federal and applicable state law, including filing complaints with the Consumer Financial Protection Bureau XXXX Federal Trade Commission , my State Attorney General, and seeking statutory damages, actual damages, attorney 's fees, and all other relief available by law. Nothing in this correspondence constitutes an acknowledgment of liability, an admission that any debt exists, or a promise to pay. I expressly reserve all rights."
23829611,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"RECEIVED THIS BY VOICEMAIL FROM XXXX XXXX XXXX XXXX ON XX/XX/year> : Good morning this message is for XXXX This is XXXX calling from XXXX XXXX XXXX XXXX Im calling because our billing office notified us that your account went to collections yesterday and the amount of XXXX And we see that you have an appointment that is scheduled on XX/XX/XXXX that we will need to cancel until this balance is paid in full if you would like to get this balance situated you can call the collection agency Their phone number is XXXX And if you have any further questions you can give our office a call at XXXX But it Im just again to reiterate the appointment for XX/XX/XXXX at XXXX XXXX Has been canceled due to the fact that your account has gone to collections Thank you. I immediately called XXXX XXXX 's office to confirm the message and phone number of the collections agent. I phoned the collection agent number. XXXX answered, asked if I had received a collection notice from them, and I responded NO. All I have is cited above. I became suspicious. XXXX wanted my credit card number over the phone, which I refused and challenged him as a scammer. He represented that I would receive a written collection notice with XXXX days. I gave him my email address and confirmed my present residential address which has remained unchanged for 20 years. To date, no written communication of any kind has arrived from either XXXX XXXX 's office or XXXX at the "" collection agency ''."
23768655,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"I believe my rights under the Fair Credit Reporting Act have been violated due to inaccurate information being reported on my credit file. I have disputed the errors and requested that they be properly investigated and corrected, but the inaccurate reporting has continued to negatively impact my ability to obtain housing and credit. Im asking that all information reported about me be accurate, complete, and fully verified as required by law. I will continue to exercise my rights to dispute inaccurate information and seek correction through the appropriate legal and regulatory channels. Consumers deserve fair and accurate credit reporting. If inaccurate information is affecting your credit, know your rights and keep records of all communications and disputes."
23792228,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"On or about XX/XX/year>, I sent a written debt validation request to Synergetic Communication XXXX XXXX regarding a collection account referencing XXXX XXXX XXXX as the current creditor ( reference # XXXX ). This request was made pursuant to my rights under the Fair Debt Collection Practices Act, 15 U.S.C. 1692g ( b ), and asked the company to validate the debt, including providing proof of the amount owed, verification of their authority to collect, and confirmation of licensure to collect debts in Georgia. The letter was sent via certified mail, return receipt requested, and I have proof of delivery dated XX/XX/year>. As of the date of this complaint, Synergetic Communication XXXX XXXX has not provided any response or validation of this debt. Despite failing to validate the debt, the company has continued to contact me in an attempt to collect during this period. Under XXXX U.S.C. XXXX ( b ), a debt collector must cease collection activity on a debt until it obtains verification and mails a copy of that verification to the consumer, once a validation request is made within the statutory period. Synergetic Communication XXXX XXXX has failed to validate this debt, has continued collection activity, and has not confirmed that the account is on hold, in apparent violation of this requirement. I am requesting that the CFPB investigate this matter and require Synergetic Communication XXXX XXXX to cease all collection activity on this account, correct any related credit reporting, and provide the validation documentation originally requested."
24208330,Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,They charge me XXXX which Im unaware of from this credit I or o j Ross associate
24204496,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I am disputing a collection account that is being reported without sufficient verification. I requested validation of the alleged debt by sending a written debt validation request via certified mail to the collection agency. I requested documentation showing that the debt is valid, the amount claimed is accurate, and that the company has the legal authority to collect and report the account. I also requested documentation identifying the original creditor and any agreement establishing my responsibility for the debt. If the company is unable to provide the requested documentation, I am requesting that the collection account be removed from my credit reports and that all collection activity cease. I also request that the company investigate the accuracy of the information it is reporting and correct or delete any information that can not be verified."
23807033,Debt collection,False statements or representation,Attempted to collect wrong amount,"This is regarding account number XXXX, company name ALDOUS & ASSOCIATES PLLC for a debt of {$420.00}. I contacted original debtor XXXX at XXXX requesting specific documentation or itemized bill explaining the amount owed in regard to this collection. They were not able to find any account under my name nor represent requested documents. I initiated the same request with collection agency stated and was told they are not able to provide any documentation as well mentioning they only had a comment and proceeded to initiate collecting the debt without being able to provide proof of an itemized bill/invoice of what i'm being charged or sent to collections for. Id like any form of proof, documentation and authorization for this collection."
24402577,Debt collection,False statements or representation,Attempted to collect wrong amount,"# Consumer Financial Protection Bureau ( CFPB ) Complaint * * Company : * * Credit Acceptance Corporation * * Subject : * * Wrongful Repossession, Predatory Lending, and Inaccurate Credit Reporting I am filing this complaint against Credit Acceptance Corporation regarding the wrongful repossession of my vehicle, unfair lending practices, and inaccurate credit reporting. I believe Credit Acceptance engaged in predatory lending by placing me into a loan with terms that were unfair and excessively burdensome. The loan carried a high interest rate and payment obligations that were not adequately explained and were not reasonably affordable. In addition, I believe my vehicle was wrongfully repossessed. I dispute that Credit Acceptance had a lawful basis to repossess my vehicle under the circumstances. The repossession caused significant financial hardship, including the loss of reliable transportation, emotional distress, and damage to my credit. Following the repossession, Credit Acceptance reported negative information to the consumer reporting agencies that I believe is inaccurate and/or incomplete. This reporting has significantly harmed my credit score and has affected my ability to qualify for a mortgage and other affordable credit. I request that the Consumer Financial Protection Bureau investigate whether Credit Acceptance violated federal consumer protection laws, including the Fair Debt Collection Practices Act ( where applicable ), the Fair Credit Reporting Act, the Consumer Financial Protection Act 's prohibition against unfair, deceptive, or abusive acts or practices ( UDAAP ), and any other applicable federal or state laws governing repossessions and consumer lending. * * I respectfully request the following resolution : * * * A complete investigation into the circumstances surrounding the repossession. * Copies of all records supporting Credit Acceptance 's decision to repossess my vehicle, including payment history, notices of default, notices of right to cure ( if required ), repossession authorization, and sale records. * Correction or removal of any inaccurate information reported to Equifax, Experian, and TransUnion. * Removal of any inaccurate late payments, repossession notation, deficiency balance, or other derogatory information that can not be verified. * A determination as to whether the repossession complied with all applicable federal and state laws. * Any additional relief deemed appropriate, including correction of my credit file and reimbursement for damages if the repossession is determined to have been improper. The actions of Credit Acceptance have caused substantial financial harm and continue to impact my ability to obtain housing and affordable credit. I ask the CFPB to investigate this matter thoroughly and require Credit Acceptance to provide a fair and lawful resolution. Thank you for your attention to this complaint. Sincerely, XXXX XXXX"
23884097,Debt collection,False statements or representation,Attempted to collect wrong amount,"I am disputing two debt collection accounts placed by XXXX, XXXX ( XXXX XXXX XXXX, XXXX, OH XXXX ) : Account XXXX for {$260.00}, and Account XXXX for {$190.00} ( current demand {$40.00} ). Both accounts trace back to XXXX XXXX XXXXXXXX billing for XXXX XXXX equipment ( XXXX XXXX account XXXX, XXXX XXXX ). I returned the XXXX XXXX equipment before the disputed dates of service ( XX/XX/XXXX and XX/XX/XXXX ) and should not have been charged for continued use after that return. Starting in XX/XX/XXXX, I repeatedly contacted XXXX XXXX, XXXX XXXXXXXX XXXX XXXXXXXX XXXX department, and XXXX XXXXXXXX XXXX Financial Counseling department in writing, requesting an itemized statement and explanation of these charges. Despite months of correspondence, I never received an itemized bill or documentation supporting the charges. On XX/XX/XXXX, XXXX XXXX 's own Corporate Compliance department told me in writing that the account number and XXXX on the bill I disputed "" are not IU Health numbers, '' and directed me to contact the number on the bill instead of resolving the discrepancy. IU Health never provided the itemized statement I requested. Despite this unresolved dispute, the account ( XXXX ) were placed with XXXX, XXXX for collection. XXXXXXXX XXXX notice for Account XXXX shows a balance of {$190.00} but demands only {$40.00}, implying a payment or credit of {$150.00} that I have no record of making. I do not believe I owe these amounts, or at minimum can not verify that I do, given the conflicting information from IU Health and the unexplained partial payment shown on the collection notice. I have sent XXXX, XXXX a written request for debt validation under the Fair Debt Collection Practices Act, disputing both accounts and requesting an itemized accounting and documentation of the original charges. I am filing this complaint because, despite over six months of written attempts to get clarification directly from XXXX XXXX, I have been unable to obtain a clear or itemized explanation of these charges, and the matter has nonetheless been referred to collections. I am requesting that these accounts be investigated, that collection activity and any credit reporting be paused pending validation, and that XXXX XXXX and/or RMP, LLC provide a documented, itemized explanation of the charges in question."
23784516,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"On XX/XX/year>, I requested from XXXX Technologies, to provide a series of documents regarding an alleged debt, from Resurgent Capital Services, within 30 days : Forward Flow Agreement Chain of Assignment Purchase Agreement Insurance claim of debt My wet Signature On XX/XX/XXXX, I received a 1 page account statement of sorts, but none of the requested documentation, that I need to verify validity of this said debt."
24146786,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"On XX/XX/XXXX, I sent a written debt validation request via certified mail to Monarch Recovery XXXX XXXX regarding an alleged debt of {$2400.00}. The letter was delivered and confirmed via USPS tracking number XXXX on XX/XX/XXXX The debt collector never responded within the required 30 days. On XX/XX/XXXX I sent a second follow up letter via certified mail referencing their failure to validate. Tracking number XXXX, delivered XX/XX/XXXX. Again no response was received. As of today XX/XX/XXXX the debt continues to report on my XXXX XXXXXXXX and XXXX XXXX XXXX XXXX XXXX XXXX despite XXXX formal written validation requests with XXXX response. The collector has failed to validate the debt, failed to cease collection activity, and failed to mark the debt as disputed. This is damaging my business credit and preventing me from obtaining business financing."
23775609,Debt collection,False statements or representation,Attempted to collect wrong amount,"I am writing to formally dispute the alleged debt referenced in this collection account and to request validation of the debt pursuant to the Fair Debt Collection Practices Act ( FDCPA ). I dispute this debt in its entirety and request that you provide competent evidence that I have a legal obligation to pay it. Specifically, I request the following : * The name and address of the original creditor. * The original account number. * A complete itemization of the amount allegedly owed, including any interest, fees, or other charges added. * Documentation showing that I agreed to assume responsibility for this debt. * Documentation demonstrating that your company has the legal authority to collect this debt. * Documentation verifying that the debt is accurate and within the applicable statute of limitations. Until this information is provided, I request that all collection activity regarding this account cease to the extent required by applicable law. If you have reported this account to any consumer reporting agencies, I request that it be marked as disputed while this matter is under investigation. If you are unable to provide the requested validation, I request that the account be removed from your records and that any information furnished to consumer reporting agencies be corrected or deleted as appropriate. This letter is not an acknowledgment or acceptance of liability for the alleged debt, nor is it a promise to pay. My request is solely for validation of the debt as provided under applicable law. Thank you for your prompt attention to this matter. I look forward to your written response."
24522820,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,This account appeared on my credit report and has decreased my credit score causing me to not be able to purchase anything this appeared on my report in 2026. I have no idea who it is because they have no information on my report beside the name of credit company.
23951375,Debt collection,Attempts to collect debt not owed,Debt is not yours,"Wells Fargo Bank filed fraudulent lawsuits against XXXX XXXX XXXXXXXX XXXX XXXX XXXX, holding each liable for a {$49000.00} unpaid mortgage promissory note signed by XXXX XXXX. XXXX XXXX XXXXXXXX XXXX XXXXXXXX XXXX XXXX."
24191510,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I am filing a formal consumer complaint against Caine & Weiner Company , Inc. for direct non-compliance with the Fair Debt Collection Practices Act ( FDCPA ), 15 U.S.C. 1692g, and CFPB Regulation F ( 12 CFR 1006.34 ) governing debt validation requirements. For transparency, a prior complaint regarding this account was closed after Caine & Weiner represented through the portal that supporting verification documentation would be provided via mail. This current complaint stands as a separate, distinct escalation concerning the fact that the documentation subsequently mailed completely fails to satisfy federal verification standards. On XX/XX/year>, I submitted a formal written Debt Validation Request explicitly demanding three specific categories of records : ( 1 ) A complete transaction history and itemized accounting explaining the calculation of the alleged {$550.00} balance ; ( 2 ) Documentation supporting the underlying consumer obligation with the original creditor ; and ( 3 ) Documentation establishing Caine & Weiners legal authority to collect and furnish information concerning this specific account. Under CFPB Regulation F ( 12 CFR 1006.34 ), a debt collector must provide a consumer with clear, itemized data if requested. Caine & Weiners mailed response completely failed to meet these mandates. They provided only a generic cover letter and a single-page XXXX final bill summary. Crucially, Caine & Weiners own correspondence explicitly admits that the balance differences are the result of adjustments made to the account by the creditor. Despite making this representation, the company completely failed to include any transaction history, payment ledger, or underlying records identifying those adjustments or explaining how they affected the balance now being asserted. A summary final billing statement that merely lists a total amount completely fails to satisfy verification obligations under 15 U.S.C. 1692g ( b ) when a consumer has explicitly disputed the underlying calculations and accounting entries. Furthermore, demanding a balance that relies on un-itemized, hidden 'adjustments ' constitutes a direct violation of 15 U.S.C. 1692e ( 2 ) ( A ) for misrepresenting the true legal character, nature, and amount of an alleged consumer debt. To further demonstrate their total lack of data integrity, the XXXX billing statement relies on an incorrect historical address ( XXXX XXXX XXXX, XXXX, PA ) that completely contradicts my current verified address. By continuously furnishing and verifying this unvalidated, mathematically inconsistent data to the consumer reporting agencies without possessing the underlying ledger records to substantiate it, Caine & Weiner is also operating in direct violation of Fair Credit Reporting Act ( FCRA ) data accuracy standards under 15 U.S.C. 1681s-2 ( b ). Because Caine & Weiner has completely failed to provide the mandatory itemized accounting, underlying obligation data, and collection authority records required to substantiate this debt, yet continues to actively collect on this unvalidated account, I request that the CFPB require Caine & Weiner to immediately cease all collection activity and permanently delete this non-compliant, unverified tradeline from all nationwide consumer reporting agencies."
24208345,Debt collection,Attempts to collect debt not owed,Debt is not yours,"I am the consumer submitting this complaint. The reported late payments on my credit report are inaccurate and are negatively impacting my credit. Please investigate and provide verification of the reported delinquencies, including supporting payment records. If the information can not be verified as accurate and complete, please remove or correct the late payment history."
24488794,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I received a Total Loss Statement from Hyundai Motor Finance dated XX/XX/year>, which reflected an Insurance Deficiency balance of {$1600.00} ( Account # XXXX ). My lease agreement contains a XXXX XXXX XXXX provision. In addition, Hyundai Motor Finance 's Final Total Loss Statement expressly states : "" A XXXX Liability Waiver is standard on all Hyundai Motor Finance leases. '' I do not understand why the {$1600.00} XXXX XXXX remains my responsibility, so I sent Hyundai Motor Finance a letter via mail and fax, and requested a written explanation. In my letter, I also disputed the responsibility for the {$1600.00} Insurance Deficiency unless and until Hyundai Motor Finance provides a written statement, along with supporting documentation, identifying the specific lease provision that makes me responsible for that amount and explaining why it was not waived under the XXXX Liability Waiver applicable to my lease. The vehicle was delivered new and was in my possession for approximately XXXX months before the total loss occurred. To the best of my knowledge, there was no prior damage, excess mileage, rebate recapture, unpaid lease payments, or other lease-end adjustment that would fall within the exclusions referenced in the final statement. Accordingly, I requested the following in writing : 1. Confirmation whether the XXXX XXXX XXXX was applied to my account. 2. Identification of the specific lease provision relied upon in determining that the {$1600.00} XXXX XXXX remains my responsibility. 3. A written explanation of why the XXXX XXXX amount was not waived. 4. A breakdown of the total loss settlement calculation, including any amount waived under the XXXX Liability Waiver. As a result of my actions, Hyundai Motor Finance assigned a case manager to this matter, who contacted me by phone and promised a follow-up. However, instead of providing the requested written explanation, they sent me a second notice, dated XX/XX/year>, demanding payment of the alleged outstanding balance of {$1600.00} within XXXX days, without any supporting breakdown or explanation. Because of this, I contacted their collections department, and they told me they could not, and would not, provide any written explanation. They only offered a verbal explanation over the phone, which I found neither clear nor easy to understand. Account No : XXXX Vehicle : XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX : XXXX"
24117318,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"On XX/XX/XXXX I received a summons and complaint. I responded with an answer to all parties listed and involved. Since that date I have tried multiple times to reach this company. XXXX different email addresses, several phone calls, XXXX online contact form and XXXX certified letter. Upon accessing the portal it came to my attention that they had incorrect contact information. I edited it and logged out to make sure it stuck, it did not. After accepting a settlement of their suggestion on that same portal and putting in my banking information - I was locked out of the portal completely. I set up the first payment for XX/XX/XXXX- they did not withdrawal it as scheduled. I can not access my portal or reach them to discuss."
23952293,Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,NATLCRSYS is falsely reporting on my credit. I have never had any accounts with them. Per my research NATLCRSYS is a debt collector. They are falsely reporting on my credit!! Account number is XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.
24027203,Debt collection,False statements or representation,"Impersonated attorney, law enforcement, or government official","I am submitting this complaint regarding a debt collection call I received concerning an alleged XXXX XXXX account from XXXX. On or about XX/XX/XXXX, I received a voicemail stating there was a formal complaint against me and that I could resolve the matter without an attorney. I later received a written Notice of Acceleration identifying the original creditor as XXXX XXXX. When I returned the call, the representative became aggressive after I declined to verify my address over the telephone. I was uncomfortable providing personal information before understanding who I was speaking with and what the claim involved. During the call, the representative : * Raised her voice and became confrontational. * Repeatedly demanded to know why I had not paid the alleged debt. * Became increasingly aggressive when I asked questions about the claim. * Told me that because of XXXX, the statute of limitations had been extended and that the debt remained legally enforceable. * Stated that if I did not pay that day, they would place a XXXX judgment on my credit. I asked that all future communications be made in writing and advised that any further communication should be through my attorney. Instead of calmly answering my questions, the representative continued to pressure me. At no time during the call was I provided with a court case number, informed that a lawsuit had already been filed, or given documentation supporting the statements made regarding a judgment. I believe the representatives conduct was intimidating and unprofessional. I am requesting that this matter be reviewed to determine whether the collection practices and representations made during the call complied with applicable federal and Texas law. I have retained copies of the voicemail, email correspondence, and the Notice of Acceleration and can provide them upon request. Thank you for your review."
23947314,Debt collection,False statements or representation,Attempted to collect wrong amount,"On XX/XX/XXXX, I sent this debt collector a written demand for debt validation under the Fair Debt Collection Practices Act, 15 USC Section 1692g, via USPS Certified Mail to their designated dispute address. The collector is attempting to collect {$24000.00} on an alleged rental debt. Only {$1900.00} of this amount was ever adjudicated by a court ( default judgment entered in a XXXX XXXX court on XX/XX/XXXX ). The remaining {$22000.00} has never been the subject of any court ruling and lacks documented legal basis. I demanded validation of the full amount, including the original signed lease, an itemized accounting of the {$24000.00} balance with legal authority for each added charge, a complete chain of assignment from the original creditor, and the original date of delinquency. More than 30 days have passed since the collector received my validation demand. They have provided no validation of any kind. Nonetheless, they continue to report this account to all three major credit bureaus ( Experian, Equifax, and TransUnion ) at the inflated {$24000.00} balance. Under FDCPA Section 1692g ( b ), a debt collector is prohibited from continuing collection activity, including credit reporting, until validation is provided. Their continued reporting is an ongoing violation of the FDCPA and the accuracy requirements of the Fair Credit Reporting Act. I filed formal disputes with all three credit bureaus on XX/XX/XXXX, via USPS Certified Mail. I am requesting the CFPB assist in obtaining : ( 1 ) Immediate cessation of all collection activity on this account ; ( 2 ) Deletion of the tradeline from all three credit bureaus ; ( 3 ) Written confirmation that the debt will not be resold, transferred, or re-aged to any third party."
24030275,Debt collection,False statements or representation,Attempted to collect wrong amount,"To Whom It May Concern, I am formally disputing the accuracy and completeness of the account listed on my credit report with your company. I request that you conduct a reasonable investigation as required under the Fair Credit Reporting Act ( FCRA ). If this account can not be fully verified with competent, accurate, and complete documentation, it must be deleted from my credit file. Verification should include, but is not limited to : The original signed contract or agreement bearing my signature that created the alleged obligation. A complete payment history from the original creditor. Itemized invoices, billing statements, or account records supporting the balance being reported. Documentation showing how the current balance, including any fees, interest, or charges, was calculated. Documentation establishing the legal authority of the reporting entity to collect or report this debt. The date of first delinquency and all dates of activity being reported to the credit bureaus. Evidence that the information being furnished is complete, accurate, and verifiable. Merely confirming information within your own records or relying on information provided electronically by the furnisher does not constitute sufficient verification if the underlying documentation can not substantiate the accuracy of the reported account. If you are unable to produce documentation that verifies the account and every material aspect of the information being reported, I request that the account be permanently deleted from my credit file pursuant to your obligations under the Fair Credit Reporting Act. Please provide me with the results of your investigation, including copies of the documentation relied upon to verify this account. If no such documentation exists, please delete the account immediately and notify all credit reporting agencies to which the information has been furnished. I expect that all information reported on my consumer file complies with the FCRA 's requirement that consumer reporting agencies maintain maximum possible accuracy. Thank you for your prompt attention to this matter. Sincerely, XXXX XXXX"
23811893,Debt collection,Attempts to collect debt not owed,Debt was already discharged in bankruptcy and is no longer owed,"I received a missed call from ( XXXX ) XXXX. XXXX system did not identify the name of company or law firm. When reaching a person name XXXX they confirmed my name and last XXXX of ssn. They stated they are contacting for an owed debt and needed a statement before perusing legal action on an owed debt. When asked about the debt they said a letter was sent in XXXX and then when I asked for further info the representative asked if I received the papers or not. I explained I wouldnt know if I have no idea who the papers came from. They did state a law firm name but I can not recall. I told them no but the debt they stated was from XXXX, which was included in my XXXX chapter XXXX bankruptcy. When I tried to explain and get further info the representative stated they will notate my refusal to pay and submit that to the courts and will be perusing a lien on my vehicle ( which I am financing ). The representative would not talk, barely provide any information, evasive on answering questions, and hung up on me after threatening me with the previously mentioned legal action."
23969763,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I have two different debt collection accounts with Jefferson Capitol systems LLC and I have repeatedly tried to ask for verification of both accounts. However, I have only gotten a verification of one of the accounts that has been passed off to a third-party. But another account in the total of {$280.00} can not be verified. On multiple occasions I have not been given enough information to verify the debt as well as where it is located. The account also doesnt show up on my TransUnion credit report."
24016568,Debt collection,Took or threatened to take negative or legal action,Sued you in a state where you do not live or did not sign for the debt,"Collection Agency Pursuing to consumer law 15 USC 1692 E ) ( 15 USC 1692 J They Are Not Your Original debtor and you dont have a signed agreement with them. DELETE LATE PAYMENT 15 U.S. CODE 1666 ( b ) DELETE COLLECTIONS 15 U.S. CODE 1692 ( g ) DELETE CHARGE OFFS 15 U.S. CODE 1681 ( c ) 2 / 1681e ( b ) DELETE REPOS 15 U.S CODE 1681 ( s ) 15 USC 1681- FCRA 15 USC 1692 - FDCPA 15 USC 1601- TILA The primary federal law governing debt collection is the Fair Debt Collection Practices Act ( FDCPA ). It is codified in the U.S. Code at 15 U.S.C. 16921692p. This legislation prohibits third-party debt collectors from using abusive, unfair, or deceptive practices. Prohibited Harassment : Collectors are barred from using threats of violence, using obscene language, or continuously calling consumers with the intent to annoy or harass"
23921559,Debt collection,Written notification about debt,Didn't receive notice of right to dispute,"Account Credit Control , LLC # XXXX. I'm unaware of this debt and did not have the opportunity to dispute this account. If you believe you sent proper notification, please provide XXXX XXXX ' with receipt displaying my signature. If not, please delete this account as soon as possible from my report or I will have to take legal action."
24000483,Debt collection,Attempts to collect debt not owed,Debt was result of identity theft,ALDOUS is falsely reporting on my credit. I have never had any accounts with them. Per my research ALDOUS is a debt collector. They are falsely reporting on my credit!! Account number is XXXXXXXX XXXX XXXX is falsely reporting to my credit file and is against my rights and fair credit act. Under U.S Code 1618d - Disclosure of investigation consumer report ; you are in violation.
23901130,Debt collection,False statements or representation,Attempted to collect wrong amount,"In XX/XX/XXXX I was sued by Plumeria Accord Holdings LLC, a debt buyer, in the XXXX District Court of Michigan, XXXX XXXX, Case No. XXXX, for an alleged debt of {$8200.00} originally owed to XXXX XXXX XXXX Celtic Bank XXXX In their Motion for XXXX XXXX filed with the court, XXXX submitted documentation swearing that the last payment date on this account was XX/XX/XXXX. This representation was material to their motion seeking a judgment against me personally. I obtained my XXXX XXXX XXXX bank statement showing an ACH/KABBAGE PAYMENT of {$53.00} that posted and cleared on XX/XX/XXXX XXXX months after the date Plumeria swore to the court was the last payment. I submitted this authenticated bank statement as evidence. In their XXXX filed XX/XX/XXXX, XXXX conceded on page XXXX that the last payment was actually made in XX/XX/XXXX admitting their original sworn statement to the court was false. Additionally XXXX 's own Account XXXX Report submitted as Exhibit XXXX shows the account was not charged off until XX/XX/XXXX creating XXXX and a half months of account activity they have never produced or accounted for. Their Exhibit XXXX also shows {$13000.00} in payment attempts and {$12000.00} in total billed amounts from which the claimed balance of {$8200.00} can not be mathematically verified. XXXX has never produced a custodian of records affidavit from XXXX or XXXX Bank authenticating any of their records in over a year of litigation. This false sworn representation was made in a court filing in direct connection with a debt collection action against me personally."
