Complaint ID,Product,Issue,Sub-issue,Consumer complaint narrative
24366211,Debt collection,False statements or representation,Attempted to collect wrong amount,"This complaint concerns a false representation about the character of a debt made by Eastern Account System of Connecticut , Inc. in its response to prior CFPB complaint # XXXX, submitted XX/XX/XXXX. Background : On XX/XX/XXXX, Eastern issued a collection notice ( XXXX XXXX. XXXX ) demanding {$320.00} from the original creditor XXXX XXXX. The {$320.00} consisted of {$300.00} in unreturned equipment charges and {$27.00} in California sales tax assessed on those equipment charges, as itemized on XXXX 's own XX/XX/XXXX billing statement. The bill explicitly lists the {$27.00} as : CA State Sales Tax {$18.00}, XXXX XXXX Local Sales Tax {$5.00}, XXXX XXXX XXXX Sales Tax {$3.00}, and XXXX XXXX XXXX Sales Tax {$0.00} calculated on the {$300.00} equipment charge. On XX/XX/XXXX, a written FDCPA dispute was submitted to Eastern at XXXX disputing the debt in full under 15 U.S.C. 1692g ( b ) and requesting debt validation including documentation supporting the full {$320.00} amount. Eastern did not respond directly to that dispute or to a follow-up confirmation email sent XX/XX/XXXX. On XX/XX/XXXX, Eastern responded to CFPB complaint # XXXX, crediting the {$300.00} equipment charge. Eastern then characterized the remaining {$27.00} as 'service provided through XX/XX/XXXX ' a service balance. This characterization is a false representation under 15 U.S.C. 1692e ( 2 ) ( A ). XXXX 's own XX/XX/XXXX billing statement submitted as documentary evidence to the prior CFPB complaint unambiguously itemizes the {$27.00} as California sales tax on the {$300.00} equipment charge. It is not a service balance. Eastern provided zero documentation from XXXX supporting its recharacterization of this amount as a service balance. Furthermore, XXXX 's own billing app reflected a credit balance of {$1.00} as of account disconnect meaning XXXX 's own records showed no balance owed by the consumer at the time of collection referral. Eastern has not addressed this discrepancy. Eastern has still not responded directly to the consumer despite a written email-only communication request submitted XX/XX/XXXX. Eastern 's only substantive communications have been through the CFPB complaint process never directly to the consumer or authorized representative."
23768906,Debt collection,Attempts to collect debt not owed,Debt was paid,"I am formally disputing a fraudulent collection account ( # XXXX ) submitted to National Credit Systems by XXXX XXXX XXXX ( managed by XXXX XXXX XXXX XXXX ) .I fulfilled my early lease termination requirements perfectly : On XX/XX/XXXX, I submitted a 60-day notice. On XX/XX/XXXX, I paid the early termination fee of {$3200.00} via XXXX XXXX XXXX ( Transaction ID : XXXX ). Following that, I paid my final XXXX months of pro-rated rent installments of {$1800.00} and {$1500.00}. On XX/XX/2026, the apartment complex issued me a "" Final Account Statement '' showing a balance of {$0.00} and an {$18.00} refund due to me. However, on XX/XX/2026, the property mistakenly tacked on a duplicate {$3200.00} charge on my ledger, failing to credit my XXXX payment, and immediately sent it to collections. Neither the property nor the collection agency has reached out to me or provided any notice over the last 6 months of this mistake until the collection agency sent an email on XX/XX/2026. This hidden modification violates Texas Property Code 92.103. I have attached my bank receipt and my final statement proving this debt is completely illegitimate. I demand this collection be permanently removed."
23918615,Debt collection,False statements or representation,Attempted to collect wrong amount,"We successfully completed our full lease term with XXXX XXXX at XXXX XXXX XXXX, concluding naturally on XX/XX/2025, and officially returned the keys on the morning of XX/XX/2025. I also gave a 60 days notice that we would not be renewing the lease. All full months of rent under the lease agreement were paid to management. The only remaining housing balance at move-out was the XXXX prorated days from XX/XX/XXXX. Despite this natural lease conclusion, the creditor has assessed a highly inflated, penal move-out balance of {$2800.00}, which was sent to Pro Collect , Inc. for collection. This balance includes a fraudulent equipment replacement fee for a working cooking stove, alongside an illegal {$1200.00} Paragraph XXXX reletting penalty.Per verified utility records, a new resident successfully established a XXXX XXXX account at that exact address on XX/XX/2025, confirming immediate re-occupancy. Under Texas Property Code 91.006, landlords maintain a strict statutory duty to mitigate damages and are legally prohibited from collecting dual rents or enforcing penal contract fees once a unit is re-occupied. Despite receiving a formal statutory dispute and an immediate cash tender of all undisputed housing and cleaning funds ( {$610.00} ) to fully cover our prorated days and cleaning, Pro Collect sent an automated email flatly refusing to properly investigate or produce the certified corporate XXXX XXXX XXXX for the apartment unit. They are intentionally withholding this internal housing ledger because it contains the structural payment history of the subsequent tenant who occupied the unit on XX/XX/XXXX. By withholding this ledger, they are attempting to mask their client 's clear statutory violations. I request an immediate federal compliance audit of this account, production of the original unit rental payment ledger, removal of the fraudulent stove and reletting fees, and permanent deletion of this invalid credit tradeline under the FCRA."
23951262,Debt collection,False statements or representation,Attempted to collect wrong amount,"Never received a bill or warning by the mail nor have I ever signed up with XXXX. Spoke to XXXX ic systems and XXXX and none of them can seem to find me accountable for this collection of XXXX dollars, but fail to remove it."
23775832,Debt collection,False statements or representation,Attempted to collect wrong amount,"XXXX XXXX XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX, OH XXXX Date : XX/XX/XXXX Re : Request for Debt Validation Collection Agency : LVNV FUNDING LLO Amount : {$710.00} Opened : XX/XX/XXXX To Whom It May Concern, I am writing in response to your communication regarding the alleged debt referenced above. I dispute this alleged debt and request validation pursuant to 15 U.S.C. 1692g. Please provide : ( 1 ) the original creditor ; ( 2 ) the account number ; ( 3 ) an itemized balance ; ( 4 ) copies of documents showing I am legally responsible ; ( 5 ) proof you are authorized to collect ; and ( 6 ) the date of last payment and delinquency. Until validation is provided, cease collection activity and mark the account as disputed. If you can not validate the debt, remove any inaccurate reporting to the consumer reporting agencies. Sincerely, XXXX XXXX"
24157666,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"I disputed an XXXX XXXX XXXX account on my eqiufax credit report twice, on XX/XX/year> and XX/XX/year>. XXXX reviewed the same account and deleted it after its XXXX proper investigation. but Equifax continues to report it as verified. I have requested the method or verification and documentation supporting the accounts accuracy but equifax continues to report it as verified"
24198369,Debt collection,Written notification about debt,Didn't receive notice of right to dispute,Collection account showed up on my XXXX credit report didn't receive any paperwork showing proper ownership chain of custody or bill of sale that they have standing to collect
23923998,Debt collection,Took or threatened to take negative or legal action,Threatened or suggested your credit would be damaged,"In XXXX 2024, my balance was {$1200.00}. They then changed hands XXXX XXXX XXXX XXXX changed hands to UMB bank where I was then sent a bill for over {$3900.00}. I did not use my card I have written a letter to the company. They were supposed to tell me on the first attempt to find out what happened and they did not. I finally contacted your company. They told me that information we wrote a letter asking for information and providing where these charges were from who made the charges where they were made all they could send me was amounts owed so weve been fighting this for two years now plus and I feel like this is elderly and disabled abuse."
23917843,Debt collection,Took or threatened to take negative or legal action,Sued you in a state where you do not live or did not sign for the debt,"Hi, XXXX XXXX XXXX have repeatedly placed Summons on my door from different lawyers ( Jacob Law Group and XXXX XXXX XXXX XXXX ). The amount they say I owe is {$1900.00} account ending XXXX? All parties were asked to provide complete documentation to validate that I owe these funds. They were given a chance to validate XX/XX/XXXX, and XX/XX/XXXX, from past years of harassment and humiliation. Please see list below : 1. No signed contract of the debt 2/ No complete accounting, breakdown spread sheets etc, 3. No identifying the third-party cost 4. No affidavit - statute of Limitations has expired on this claimed account 5. No debt collection license supplied for XXXX 6. No dunning letters presented prior"
23902067,Debt collection,Written notification about debt,Didn't receive enough information to verify debt,"The collection agency, Lockhart, Morris, and Montgomery , Inc., has placed a derogatory collection on my XXXX XXXX XXXX credit reports, claiming an alleged medical debt of {$1000.00}. As of XX/XX/year>, they have expanded this reporting to my XXXX credit profile as well. Summary of Violations : Withholding Mandatory Disclosures ( FDCPA Section 809 ) : I have never received a physical bill, statement, or formal validation notice from this agency. When I contacted their office by phone on XX/XX/year>, to request documentation, the representative claimed a notice had been mailed on XX/XX/year>, but explicitly refused to send another copy or mail a physical bill to verify the debt, stating, "" it cost them money to mail me another bill. '' Reporting Unverified Information ( FCRA Section 623 ) : On XX/XX/year>, I electronically filed disputes with XXXX XXXX XXXX. On XX/XX/year>XXXX XXXX finalized the dispute investigation and marked the account as "" verified '' because the collector responded to the bureau. Following this, the collector expanded reporting to XXXX, which I disputed on XX/XX/year>. The collector is purposefully providing verification data to the credit bureaus while actively withholding the physical documentation from me, the consumer. Impact on the Consumer : This agency is damaging my credit scores across all three major credit bureaus while actively obstructing my legal right to verify what this debt is for, who the original creditor is, or whether the {$1000.00} balance is accurate."
